farmer_id,crop_type,farm_size_acres,annual_yield_tonnes,income_per_acre_kes,years_farming_experience,market_access_score
80,Dairy,1.05,3.2,13722.0,4.8,54.01825471707866
81,Horticulture,6.45,14.1,56857.0,13.1,66.83606160165388
82,Tea,53.31,180.6,79975.0,13.0,52.715456933350275
83,Horticulture,1.13,0.1,15931.0,20.8,38.592278943695334
84,Maize,31.99,23.1,2011.0,18.9,33.49750653855439
85,Maize,2.3,3.3,148566.0,3.6,55.20733464880317
86,Tea,3.92,10.3,40572.0,2.7,33.69994408329479
87,Dairy,2.71,14.8,32986.0,6.9,58.09744721824117
88,Maize,1.85,13.9,55920.0,8.6,78.36403993540816
89,Tea,15.69,26.8,17834.0,20.6,48.002888371082214
90,Tea,3.59,5.4,166890.0,11.4,47.54579373756599
91,Dairy,4.36,8.5,39955.0,4.4,68.03775175372513
92,Maize,0.2,3.0,116367.0,18.7,100.0
93,Horticulture,3.53,5.8,53767.0,10.9,0.0
94,Horticulture,0.7,2.2,38790.0,6.2,41.85987640456412
95,Horticulture,3.96,14.4,62870.0,5.3,
96,Horticulture,26.97,32.1,14574.0,10.3,74.34000432651362
97,Coffee,3.41,9.2,24050.0,0.6,57.4036760490948
98,Dairy,1.58,3.0,9786.0,8.4,11.344186461408015
99,Maize,5.33,11.0,103620.0,3.4,92.78057817347293
100,Tea,3.23,8.7,44171.0,5.2,0.0
101,Maize,1.21,5.2,23246.0,5.4,22.626165121462943
102,Dairy,35.26,185.8,83283.0,12.5,75.70419644141882
103,Coffee,1.73,3.1,4767.0,7.8,62.84113008100519
104,Tea,32.59,128.3,103230.0,15.1,16.88071252566253
105,Tea,44.59,152.8,88525.0,17.6,16.58316190550167
106,Horticulture,1.07,1.3,8126.0,23.8,58.74365882144508
107,Coffee,1.71,13.6,52346.0,5.9,53.169052240903845
108,Tea,3.87,13.2,35026.0,5.9,30.740045870009197
109,Coffee,7.06,4.9,119065.0,12.0,44.92746526275866
110,Maize,1.25,11.4,57054.0,9.0,50.19764386929905
111,Tea,3.3,4.4,69355.0,3.6,1.352859557242823
112,Tea,4.56,9.8,38310.0,8.0,
113,Maize,1.42,1.2,17691.0,21.0,20.263475620480655
114,Coffee,17.22,7.3,17528.0,9.1,100.0
115,Maize,50.1,222.6,105388.0,9.3,59.69168971277362
116,Coffee,4.75,6.5,65752.0,6.2,44.95761658151652
117,Horticulture,30.96,23.4,8952.0,13.9,57.089741804823674
118,Dairy,32.44,148.5,69878.0,20.8,36.8597750386256
119,Horticulture,4.36,9.3,67347.0,2.2,95.99489557370022
120,Horticulture,7.39,3.0,34909.0,6.6,64.15773087542377
121,Coffee,4.59,7.6,127043.0,11.5,90.24299591664348
122,Tea,3.65,9.9,34114.0,0.5,12.398306628687479
123,Coffee,1.48,17.1,53784.0,6.5,18.030412659677523
124,Tea,3.32,8.1,30081.0,6.3,45.2668259703574
125,Dairy,0.63,1.6,15276.0,20.0,28.026763319236995
126,Coffee,1.05,2.6,24317.0,4.7,
127,Horticulture,3.28,12.9,45676.0,9.9,49.990567035294184
128,Tea,2.61,6.8,50045.0,3.7,32.42741140705558
129,Tea,3.35,14.5,29078.0,7.2,65.29664185783393
130,Maize,0.2,7.5,54960.0,7.1,82.76484642486358
131,Dairy,5.51,11.8,73964.0,5.3,65.5139827351485
132,Horticulture,0.79,3.5,6809.0,8.6,18.788442305196355
133,Horticulture,0.99,8.3,130367.0,9.9,75.22532755638336
134,Maize,3.63,5.0,67396.0,9.2,55.98381844949171
135,Horticulture,2.85,10.5,23438.0,3.0,37.26937357047201
136,Maize,68.68,189.4,87187.0,15.5,
137,Horticulture,2.58,5.1,92281.0,11.5,61.25269896214104
138,Tea,1.76,1.3,14733.0,18.8,26.27583235043857
139,Coffee,0.98,4.0,29155.0,12.0,20.229097399379825
140,Dairy,1.4,3.8,155498.0,6.2,50.76669477478319
141,Maize,29.56,40.3,36098.0,10.3,38.58738640468659
142,Coffee,0.2,2.9,25699.0,15.3,61.10943666309255
143,Coffee,1.15,0.1,22615.0,8.3,50.12141471419119
144,Maize,2.24,7.8,50369.0,2.0,62.55345787789843
145,Coffee,2.95,6.5,137044.0,6.9,61.453114352739206
146,Horticulture,2.65,9.5,38087.0,1.2,56.94413563268206
147,Horticulture,2.85,9.8,50680.0,4.7,90.15197468518181
148,Maize,56.31,149.1,94961.0,18.3,28.657264314375453
149,Maize,4.04,17.3,54808.0,3.7,30.26879244683053
150,Dairy,1.31,1.9,22613.0,11.7,76.23837275933148
151,Coffee,16.32,24.0,14510.0,7.2,92.33772487164535
152,Coffee,3.88,10.7,161546.0,13.6,88.68717497964978
153,Maize,22.25,37.1,32311.0,6.4,72.77947327397699
154,Coffee,1.81,1.8,8427.0,10.3,48.50162473861273
155,Horticulture,41.67,177.1,63900.0,13.4,8.679954521388659
156,Tea,2.82,6.3,168997.0,7.3,53.66148041019263
157,Horticulture,45.37,192.5,118209.0,27.2,46.50731214450759
158,Coffee,0.59,4.9,27518.0,16.2,82.03152092140301
159,Maize,3.71,1.3,36805.0,0.5,52.12056970569255
160,Coffee,21.2,39.5,32228.0,16.2,60.41187266950563
161,Tea,4.41,11.6,46883.0,1.5,100.0
162,Maize,16.55,38.6,9028.0,14.7,0.0
163,Dairy,3.93,6.8,129267.0,2.4,
164,Maize,3.63,3.4,105306.0,6.9,55.69430737698935
165,Horticulture,55.95,168.9,87520.0,12.2,76.15067439824726
166,Dairy,3.53,12.2,48939.0,5.6,47.42938805063246
167,Horticulture,0.85,2.8,17721.0,16.8,33.536580889034454
168,Dairy,2.62,16.6,28514.0,11.0,65.46544961188812
169,Tea,3.82,13.3,36319.0,2.9,61.50255595371928
170,Maize,5.18,6.5,136490.0,13.7,83.82544759734128
171,Maize,3.71,11.9,57289.0,4.7,22.628904117324062
172,Dairy,0.93,3.6,15056.0,11.7,57.44092241038852
173,Horticulture,32.44,49.5,24950.0,8.8,42.14323030164664
174,Maize,1.77,6.3,36812.0,8.9,55.873697186835486
175,Maize,5.9,1.4,86626.0,10.3,59.28141431378641
176,Maize,52.67,241.0,73561.0,25.2,27.047525042634824
177,Maize,36.41,224.5,95582.0,21.3,80.1504778494006
178,Maize,13.02,41.7,22387.0,15.1,70.82004729605626
179,Coffee,1.44,14.7,42088.0,5.7,86.6501948220504
180,Maize,19.32,29.9,26551.0,11.3,45.06135187151756
181,Dairy,6.75,15.7,60085.0,7.1,40.30693077069375
182,Maize,4.33,13.3,28790.0,3.0,
183,Horticulture,1.28,4.1,6186.0,10.2,87.56563740450329
184,Tea,3.44,10.5,120892.0,3.7,31.240053317464536
185,Horticulture,0.6,3.5,9224.0,3.8,
186,Horticulture,5.26,11.2,41603.0,7.7,56.86116116916685
187,Horticulture,3.62,16.8,50097.0,7.0,63.52502979735099
188,Dairy,3.29,13.8,32191.0,3.8,46.9194980234599
189,Horticulture,3.68,8.4,189897.0,12.1,69.95278019305431
190,Tea,32.2,227.4,93629.0,17.9,83.28371851327933
191,Horticulture,0.99,1.8,2000.0,6.8,58.13384542802518
192,Horticulture,1.47,1.8,16963.0,0.9,92.7778641098127
193,Maize,31.47,134.5,78740.0,17.6,0.7565342233865806
194,Coffee,0.82,3.9,12752.0,14.6,28.362966565831528
195,Maize,11.59,34.8,20739.0,4.8,47.917711996942586
196,Horticulture,1.79,17.4,39756.0,4.8,28.30799750915307
197,Horticulture,18.96,21.2,20288.0,12.4,45.594680248645254
198,Maize,28.58,226.5,75563.0,12.9,54.98683083813762
199,Horticulture,2.99,13.4,32875.0,9.1,44.99172521629882
200,Maize,18.35,25.9,22486.0,14.5,45.77624151263885
201,Maize,1.5,19.8,41410.0,9.3,100.0
202,Tea,29.7,22.3,18446.0,11.0,55.45512590111296
203,Horticulture,13.47,45.4,14299.0,3.4,48.500810587731245
204,Maize,4.77,7.8,145349.0,10.0,65.91161129964706
205,Horticulture,5.42,14.0,43793.0,10.5,39.3230672059114
206,Tea,51.63,191.0,90622.0,22.2,67.22714383526755
207,Coffee,1.98,0.4,11802.0,3.5,64.62260747724748
208,Maize,41.84,92.5,100287.0,13.2,75.45980019611656
209,Dairy,3.48,7.2,46544.0,7.5,82.34194727810777
210,Dairy,0.81,1.5,18339.0,17.2,85.79582889498673
211,Horticulture,1.02,1.3,12822.0,12.8,0.0
212,Maize,5.8,9.1,94544.0,8.3,55.966468507526606
213,Maize,4.34,9.3,106590.0,7.3,
214,Dairy,1.6,3.8,20094.0,14.3,65.93116925685723
215,Dairy,1.49,1.4,7415.0,12.8,75.40414427459403
216,Coffee,51.74,154.0,85551.0,14.4,76.15644960452644
217,Coffee,2.74,11.8,36388.0,5.8,64.08461286612447
218,Dairy,2.34,9.7,43095.0,12.7,24.608420003938384
219,Horticulture,4.45,7.3,172166.0,7.9,59.13208373967058
220,Maize,1.52,5.9,50035.0,0.5,42.18308402531159
221,Maize,27.15,14.1,18968.0,14.7,68.27402455649144
222,Tea,2.83,9.4,43837.0,6.1,56.229741686403024
223,Dairy,1.14,0.5,29127.0,1.0,63.33727045711598
224,Maize,0.83,2.2,11495.0,5.4,41.41006256209198
225,Maize,51.63,84.8,74148.0,16.0,56.679281183997844
226,Maize,22.44,30.4,24800.0,7.9,93.1468856576059
227,Coffee,5.85,15.7,49517.0,4.3,48.46126933018451
228,Tea,3.58,1.9,139554.0,10.8,63.492916221543915
229,Coffee,4.04,17.0,48012.0,4.3,90.90974769282266
230,Maize,1.09,4.8,14286.0,13.4,56.141679727175614
231,Horticulture,45.24,196.6,94086.0,19.8,33.22704568366877
232,Maize,13.18,23.3,18274.0,18.4,12.03510547951813
233,Coffee,2.68,21.6,63652.0,11.0,76.42613551767185
234,Maize,0.69,3.7,13910.0,15.0,45.596493608328046
235,Dairy,2.59,13.1,111187.0,4.9,16.008228329169555
236,Coffee,0.82,3.8,22593.0,11.7,47.69686482747532
237,Tea,21.98,20.2,31379.0,14.2,
238,Maize,3.77,16.7,32542.0,7.7,53.33609015173397
239,Tea,0.87,3.3,21888.0,16.4,19.177583714887348
240,Horticulture,3.03,13.2,52787.0,13.8,74.28355969055552
241,Coffee,4.27,8.0,36069.0,7.2,48.429846657201686
242,Tea,3.52,9.7,44332.0,3.2,0.0
243,Horticulture,4.89,2.2,88636.0,0.5,24.656189761119826
244,Maize,2.68,12.9,116105.0,10.3,33.26978221981507
245,Maize,0.8,16.1,41168.0,4.6,68.16853614235893
246,Maize,0.2,4.7,12745.0,9.0,22.595857975205146
247,Maize,4.82,5.3,47508.0,6.9,86.96925512644594
248,Dairy,0.87,2.1,15002.0,9.9,59.26371635121639
249,Horticulture,0.38,2.3,21784.0,14.0,65.46039562619205
250,Dairy,29.66,12.6,14800.0,15.9,86.60937819320507
251,Coffee,1.02,2.2,11551.0,0.5,45.145435025104696
252,Maize,18.39,33.0,11831.0,16.4,29.76409640490751
253,Dairy,14.4,48.7,32140.0,20.8,33.94878668627352
254,Maize,1.07,2.4,13883.0,3.8,81.13481667401715
255,Maize,3.18,11.5,35405.0,8.7,80.9780919349724
256,Maize,1.14,4.2,15911.0,14.1,44.61593204945686
257,Coffee,2.44,3.7,23680.0,16.8,5.119232267646538
258,Horticulture,6.22,7.9,108992.0,8.5,6.159752653365594
259,Coffee,0.55,1.5,4409.0,20.1,45.7906399217827
260,Coffee,1.42,5.1,155251.0,15.6,85.0492971775096
261,Horticulture,1.51,0.3,11352.0,12.3,59.226718759055146
262,Horticulture,0.2,12.7,40408.0,8.8,59.14919055881339
263,Horticulture,1.47,0.5,42700.0,4.4,
264,Maize,60.9,135.1,96917.0,15.1,55.407346609875695
265,Dairy,0.53,1.4,22691.0,7.5,48.51942713277265
266,Coffee,4.98,12.3,49922.0,13.3,35.19576543505477
267,Tea,0.94,1.5,28985.0,11.5,48.95618564079135
268,Coffee,27.04,45.1,26852.0,4.6,43.595624675266436
269,Horticulture,1.25,1.3,2447.0,10.1,87.00856353710945
270,Maize,10.45,19.7,22208.0,0.5,48.53728694867795
271,Tea,26.64,23.2,13352.0,6.5,20.510830604473714
272,Tea,1.13,3.6,28162.0,10.1,51.63112357878547
273,Horticulture,33.03,214.0,92135.0,24.1,50.89871820170787
274,Maize,4.09,8.2,61817.0,2.1,56.803686170314144
275,Coffee,1.52,4.2,26576.0,12.3,68.76568069212652
276,Horticulture,1.44,3.3,17231.0,11.8,75.65108169169186
277,Horticulture,1.56,3.8,23046.0,18.6,66.00354762946657
278,Tea,0.46,3.5,19041.0,9.1,91.71182734615238
279,Dairy,51.68,191.2,70892.0,10.9,51.02048864152777
280,Coffee,2.13,9.8,46253.0,3.9,73.44522486455176
281,Tea,4.0,18.6,2000.0,5.2,74.73133405918176
282,Horticulture,0.66,15.2,43435.0,6.4,60.215766529596
283,Maize,4.52,17.7,64876.0,10.1,85.67224065460184
284,Tea,4.09,15.4,35776.0,7.9,53.86189528002747
285,Horticulture,4.81,17.2,52809.0,2.2,27.809440555688123
286,Coffee,1.35,3.6,20901.0,10.0,39.004933936623914
287,Maize,3.17,5.6,107412.0,7.2,68.67931448362278
288,Dairy,3.04,12.6,43347.0,9.7,55.465230886410026
289,Coffee,1.22,0.1,22664.0,7.3,75.31259938590453
290,Dairy,0.4,2.1,8341.0,21.5,88.60046093303069
291,Horticulture,1.89,4.7,35142.0,10.9,64.56892355546081
292,Tea,20.12,21.9,20273.0,13.4,38.68228080728892
293,Dairy,65.16,102.6,75917.0,13.9,37.64222236855908
294,Tea,2.2,11.7,52545.0,4.9,76.61998504410357
295,Maize,22.19,7.4,29468.0,11.5,100.0
296,Coffee,1.0,5.0,14382.0,11.0,63.76724600813997
297,Maize,3.89,20.0,50765.0,6.2,0.7564064358265767
298,Dairy,0.93,1.0,24552.0,14.7,44.291457904564
299,Maize,14.43,50.7,18186.0,11.0,
300,Maize,1.35,1.8,19966.0,17.8,56.60158958650395
301,Dairy,0.94,3.2,11041.0,0.5,48.44436683996991
302,Coffee,34.05,154.8,89907.0,22.3,68.89803389840733
303,Dairy,3.4,12.5,43563.0,8.6,88.50000331082633
304,Dairy,2.61,20.5,58440.0,11.1,40.85791364565384
305,Maize,0.86,0.8,23086.0,19.9,47.794518273445895
306,Coffee,1.52,2.5,18119.0,26.3,51.79700179612946
307,Coffee,0.9,4.3,31927.0,24.3,59.84931932340689
308,Horticulture,35.1,114.2,99437.0,24.7,59.65603871527851
309,Maize,8.65,6.4,130195.0,10.9,98.65429678088009
310,Maize,4.23,5.0,145863.0,4.1,79.99750244859084
311,Maize,1.13,16.3,34941.0,4.1,59.26869630411397
312,Maize,28.9,38.0,16745.0,10.4,37.24129718089323
313,Maize,1.28,2.5,7909.0,0.5,100.0
314,Horticulture,1.78,2.6,23275.0,22.1,52.575605172405595
315,Coffee,33.44,242.1,101968.0,22.2,26.21901891314709
316,Tea,1.46,2.8,26571.0,5.0,
317,Tea,18.87,272.7,82637.0,18.1,48.62788460940244
318,Maize,20.94,26.4,36704.0,5.8,38.20752932608413
319,Tea,2.86,20.2,40469.0,1.3,84.82811077527276
320,Tea,6.6,5.5,86343.0,0.5,33.27944861800782
321,Dairy,0.41,2.8,12356.0,11.9,
322,Maize,0.87,0.1,25720.0,17.4,16.682896187012943
323,Maize,3.59,7.9,52577.0,5.6,42.80596654168456
324,Tea,67.76,157.7,63558.0,14.2,60.58683007102797
325,Coffee,3.69,1.2,44183.0,4.4,37.23290095747251
326,Tea,7.17,33.0,25335.0,8.0,0.0
327,Coffee,5.38,17.2,17024.0,8.4,0.0
328,Tea,3.53,5.8,60640.0,4.4,90.39966886721612
329,Horticulture,4.62,16.3,44382.0,6.7,46.68956621605585
330,Maize,57.83,206.5,87897.0,15.6,56.22959634787912
331,Dairy,0.39,3.4,19713.0,18.9,19.198063320129805
332,Tea,4.48,11.3,54098.0,1.1,51.76825852451201
333,Dairy,1.8,4.0,11921.0,8.3,1.6413619999093072
334,Dairy,1.95,8.8,66630.0,5.4,
335,Dairy,8.39,12.1,111746.0,19.6,16.46743556239754
336,Horticulture,4.6,15.5,47197.0,11.1,58.47406153206022
337,Maize,2.62,6.9,154794.0,7.8,74.59457237567678
338,Tea,4.6,12.9,42629.0,1.9,53.46527126841902
339,Maize,4.18,5.1,29870.0,6.4,60.06333226705413
340,Tea,32.36,49.3,21220.0,20.4,59.6786759508521
341,Horticulture,5.5,8.6,54446.0,5.1,89.73728559183132
342,Coffee,4.05,14.0,30953.0,3.5,22.890012377609956
343,Maize,4.05,8.3,50522.0,8.5,54.35676778770379
344,Maize,3.36,7.8,56538.0,4.8,76.964607445316
345,Tea,22.45,45.9,23367.0,15.8,57.68029713591726
346,Horticulture,35.55,259.6,61487.0,21.9,44.70656724282341
347,Horticulture,1.11,6.1,96293.0,5.0,47.63797027032128
348,Coffee,1.51,2.8,17303.0,7.2,20.903300119410332
349,Horticulture,4.11,7.9,27463.0,10.9,60.6891347403155
350,Maize,2.69,14.7,62728.0,6.4,29.678860250349967
351,Maize,6.5,19.9,39461.0,2.1,12.233029448519872
352,Tea,2.0,3.2,23043.0,9.9,38.58462455752963
353,Dairy,0.99,1.3,18626.0,21.8,70.60305506531887
354,Coffee,0.62,0.9,12118.0,9.4,14.966864382213465
355,Tea,1.23,4.5,26757.0,8.3,48.10698730323379
356,Maize,0.79,2.5,17408.0,10.0,16.64744933042769
357,Coffee,2.23,15.5,54856.0,10.6,49.60836035260944
358,Tea,42.29,191.7,74613.0,10.5,38.456692812720256
359,Coffee,4.91,8.8,148580.0,2.6,36.508748768604114
360,Dairy,1.18,5.4,22310.0,8.3,67.51895172072867
361,Horticulture,3.46,4.3,40660.0,7.9,60.26532047397962
362,Maize,27.29,140.8,72687.0,15.1,41.369568369118625
363,Dairy,1.71,1.3,16841.0,16.8,36.20697375504553
364,Dairy,3.26,8.8,112706.0,12.1,61.266719772128056
365,Coffee,41.6,185.9,100691.0,23.5,
366,Dairy,2.31,14.5,17853.0,7.2,78.59708119645938
367,Horticulture,19.81,36.4,20143.0,4.9,33.449027737223574
368,Maize,1.19,15.0,128331.0,13.9,27.17670638679475
369,Coffee,4.69,12.6,46578.0,0.5,29.600284985595813
370,Maize,1.6,1.4,25527.0,12.5,28.28108462509572
371,Dairy,16.08,32.4,23374.0,20.9,31.31415422233946
372,Coffee,2.05,16.2,50342.0,5.0,50.518901022657126
373,Coffee,0.96,3.6,16360.0,9.0,51.29024115630035
374,Horticulture,2.45,7.5,135899.0,5.6,49.35228760840769
375,Maize,4.02,9.6,36411.0,4.2,47.29916587488543
376,Coffee,6.38,5.7,70778.0,6.8,48.41073367794981
377,Maize,0.2,9.1,47514.0,5.5,96.8292825040903
378,Maize,1.67,4.0,27149.0,4.9,27.31018846086947
379,Horticulture,41.76,181.0,84669.0,19.6,84.90740631198591
380,Horticulture,3.8,6.8,110054.0,8.1,58.60684509632546
381,Horticulture,0.62,1.2,21984.0,1.9,62.319095791316094
382,Horticulture,2.04,7.5,117290.0,8.5,27.800244350209613
383,Horticulture,3.56,12.8,38231.0,4.7,57.54309775292262
384,Maize,14.55,33.5,25313.0,5.7,42.161663212880605
385,Maize,3.49,2.1,48964.0,6.8,77.63564526398935
386,Horticulture,13.32,32.6,29436.0,11.7,31.58695968616584
387,Dairy,27.96,31.5,24122.0,13.8,43.77855316896714
388,Coffee,3.45,11.5,44617.0,5.7,76.47477015286151
389,Coffee,2.55,9.0,139668.0,12.8,36.8126468037874
390,Tea,4.58,10.6,28702.0,6.1,47.84793181794739
391,Dairy,5.01,0.1,58089.0,8.2,53.78719162579882
392,Tea,0.35,3.2,23726.0,15.7,61.570463562271385
393,Tea,5.38,4.2,73767.0,11.5,37.494786328542574
394,Maize,63.25,172.0,88235.0,23.9,54.100314184849985
395,Maize,5.8,29.2,28146.0,2.5,56.17501662593916
396,Horticulture,21.19,12.8,18675.0,8.8,41.67962902086114
397,Maize,1.6,2.4,17163.0,19.0,85.99357173011401
398,Dairy,3.97,14.4,27715.0,2.6,52.994350200527464
399,Horticulture,15.85,120.5,108765.0,18.2,45.49883878205408
400,Horticulture,2.89,9.2,40922.0,5.0,9.702320125327041
401,Maize,1.69,3.4,24252.0,17.9,70.13335810015829
402,Maize,5.44,6.1,78759.0,1.7,45.1536258986179
403,Horticulture,4.99,11.3,44818.0,10.0,61.88426946626064
404,Maize,1.96,11.6,33822.0,4.6,52.29768909127279
405,Coffee,32.55,139.1,87274.0,14.0,42.364199431063184
406,Tea,41.09,205.4,89291.0,18.3,71.76669186287592
407,Tea,50.71,178.8,79398.0,20.1,71.82514083710078
408,Tea,0.75,17.9,42551.0,5.2,16.83030372144986
409,Coffee,1.19,3.2,15198.0,11.7,54.651827589609525
410,Dairy,4.06,10.1,49810.0,7.5,55.21135859734815
411,Dairy,3.5,6.4,110718.0,1.0,82.7266425715348
412,Maize,0.41,4.4,12274.0,8.1,70.98749055816664
413,Tea,7.32,47.7,15243.0,8.2,75.39554397510926
414,Maize,1.61,2.6,31677.0,11.2,86.5854637431556
415,Dairy,2.14,5.7,164296.0,9.0,36.34217989454482
416,Horticulture,1.07,2.1,29819.0,16.3,17.02199344913882
417,Maize,3.38,17.8,25278.0,3.1,71.4239050823984
418,Horticulture,2.9,13.1,29884.0,4.6,44.89347648951581
419,Horticulture,3.66,4.4,41629.0,6.1,51.752667369717045
420,Coffee,1.53,2.1,19899.0,20.8,85.87274736494781
421,Coffee,1.96,2.4,18399.0,9.5,58.86803212681198
422,Horticulture,1.94,2.5,102294.0,6.4,51.855238623201174
423,Maize,0.2,16.8,39596.0,12.4,51.57243912961728
424,Coffee,53.67,101.7,68513.0,7.0,66.31224220644025
425,Maize,4.43,16.9,43759.0,1.1,36.36579637606002
426,Maize,1.04,8.0,107865.0,12.0,57.918456524451024
427,Maize,1.48,4.4,18263.0,13.0,73.74264157001815
428,Maize,1.39,4.3,19331.0,20.8,77.99105284153364
429,Maize,3.53,0.1,110049.0,2.7,77.09973168403882
430,Dairy,4.27,9.1,134391.0,0.5,67.06068654812884
431,Dairy,6.11,12.7,124331.0,4.6,0.0
432,Horticulture,0.91,3.8,5557.0,13.8,64.40539054888228
433,Tea,26.13,39.0,11405.0,14.9,75.85916093553772
434,Tea,5.75,15.8,41281.0,12.2,84.48682535873616
435,Dairy,26.22,26.6,22610.0,10.5,53.19164499767251
436,Maize,1.2,4.5,130436.0,8.5,31.04187646687125
437,Horticulture,6.32,8.3,28520.0,5.7,41.65143250739912
438,Horticulture,7.66,8.9,122261.0,1.8,38.381552302384804
439,Tea,5.13,6.8,88473.0,1.1,60.41572718936227
440,Horticulture,0.7,3.9,11054.0,10.7,37.77531574224447
441,Tea,0.2,11.2,119162.0,9.5,48.94610755502511
442,Coffee,3.54,12.6,57876.0,5.0,43.91094622960448
443,Maize,3.06,7.4,140544.0,7.1,47.85790277227371
